"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Ca. Atribacteria",0,77.52,87.42,92.7,83.12,86.06,80.46,79.8,80.54,77.52,82.14
"Ca. Saccharibacteria (TM7)",0,0,0,0,0,59.22,0,0,61.95,57.36,61.88
"Ca. Parcubacteria",0,0,70.42,0,0,48.87,0,55.28,40.68,0,0
"CPR2",63.66,74.37,68.98,66.64,71.22,67.66,70.82,68.71,72.14,74.43,78.69
"Ca. Microgenomates (OP11)",0,0,0,0,0,0,0,0,0,0,0
"Ca. Gracilibacteria",68.44,74.72,0,69.13,68.77,0,82.84,68.56,0,72.59,70.89
"Ca. Peregrinibacteria",70.7,69.78,63.22,66.83,70.88,77.38,75.62,78.46,70.09,73.26,75.67
"Ca. Absconditabacteria (SR1)",0,64.42,0,63.75,63.82,0,60.9,64.05,59.9,57.63,60.72
"Poribacteria",0,0,0,40.2,43.79,44.28,0,47.58,0,49.86,49.33
"Ca. Aminicenantes (OP8)",81.96,86,73.91,78.32,75.45,81.36,76.24,85.44,79.81,75.83,77.9
"Ca. Dependentiae (TM6)",0,76.82,0,0,0,0,0,0,0,0,0
"NC10",67.78,65.83,0,80.01,70.59,0,52.01,68.54,58.7,56.95,55.7
"SPAM",69.97,73.85,0,76.66,80.6,0,0,85.69,0,62.63,65.96
"BRC1",79.01,0,80.46,83.48,72.94,76.58,73.06,76.61,77.45,76.51,73.9
"Ca. Bathyarchaeota",0,84.3,73.52,0,87.45,79.28,79.03,75.97,72.94,90.23,92.45
"Group C3",0,0,77.56,0,59.73,64.43,0,60.81,62.44,54.78,0
"Ca. Woesearchaeota",0,65.87,0,0,60.94,65.12,60.48,64.03,57.69,60.39,61.96
"Ca. Parvarchaeota",45.92,45.4,35.11,39.53,38.83,43.39,43.08,44.23,38.89,43.59,42.81
"Ca. Lokiarchaeota",0,0,0,0,0,66.34,0,66.28,64.24,77.73,78.36
"Sphingobacteriia",55.99,42.48,33.93,40.95,42.73,0,40.03,58.57,55.8,51.05,43.15
"Cytophagia",53.64,0,0,0,0,0,0,0,0,0,0
"Bacteroidia",0,78.48,0,0,0,0,0,0,0,0,0
"Saprospiria",0,0,71.26,67.15,64.93,63.96,0,72.45,60.7,69.36,69.05
"Chitinophagia",0,0,55.02,60.04,60.72,56.72,61.76,59.72,50.41,58.22,57.95
"Bacteroidetes VC2.1 Bac22",91.27,90.05,85.44,79.49,82.64,84.6,81.24,85.13,77.19,81.22,80.99
"SB-5",86.18,93.46,76.53,90.84,93.03,78.14,90.59,86.18,72.24,74.27,87.75
"Bacteroidetes BD2-2",81.43,85.12,76.99,74.3,76,83.2,78.36,81.08,75.7,77.62,78.86
"WCHB1-32",78.72,80.91,0,0,0,0,72.69,76.54,59.68,76.21,71.59
"Bacteroidetes vadinHA17",97.23,92.47,81.16,77.5,80.01,0,81.01,91.66,77.69,86.12,85.11
"Ika33",65.29,71.61,60.86,62.57,58.25,59.53,64.77,66.11,61.11,67.59,63.82
"BD2-11 terrestrial group",72.57,79.74,69.22,70.61,71.18,70.68,73.68,72.65,70.82,75.12,72.82
"PAUC43f marine benthic group",71.83,75.52,69.1,62.77,65.91,0,69.33,74.66,63.38,69.76,72.66
"S0134 terrestrial group",70.32,50.12,60.11,60.62,61.51,62.24,63.8,59.91,61.44,59.58,63.28
"MD2902-B12",0,70.11,79.56,58.28,58.57,66.94,57.81,66.66,65.35,57.67,60.52
"AKAU4049",78.29,79.98,87.64,71.82,81.74,80.32,82.67,93.8,59.1,65.77,82.99
"Fibrobacteria",0,69.09,0,57.19,62.29,56.36,64.79,61.61,60.36,63.79,57.97
"Chitinivibrionia",65.87,69.46,0,0,0,0,71.27,67.5,0,76.27,60.11
"LK-44f",0,20.29,0,25.04,0,0,0,0,0,0,0
"Betaproteobacteria",79.6,88.25,0,0,0,0,77.16,84.81,0,77.36,84.56
"Alphaproteobacteria",78.93,79.2,68.94,77.46,75.62,75.21,79.2,78.24,77.28,78.63,77.94
"Gammaproteobacteria",65.95,72.43,61.95,60.54,58.67,0,64.64,64.84,58.93,64.56,66.04
"Deltaproteobacteria",0,0,0,0,0,0,0,0,0,0,0
"Milano-WF1B-44",0,0,0,0,59.22,68.06,65.23,62.86,0,59.25,0
"AEGEAN-245",69.73,79.74,0,0,0,0,59.89,0,64.9,73.72,65.07
"JTB23",78.24,88.99,76.97,83.57,91.39,78.64,88.2,86.13,79.24,85.94,87.11
"Ca. Allobeggiatoa",52.41,51.44,0,0,0,50.9,0,0,45.64,0,43.21
"pItb-vmat-80",0,69.34,68.67,68.89,69.59,71.26,71.03,71.72,59.36,58.43,61.04
"MACA-EFT26",0,0,60.5,56.58,61.1,72.36,53.13,53.64,65.46,0,0
"Skagenf62",0,19.24,0,0,22.28,0,22.21,22.91,59.28,32.33,33.85
"Clostridia",57.36,65.58,0,56.55,56.17,54.5,55.37,58.08,59.96,64.99,65.2
"Mollicutes",38.07,50.15,47.7,45.71,46.61,43.63,46.05,47.99,41.44,50.55,48.92
"Oxyphotobacteria",0,0,65.43,65.26,66.29,62.09,0,0,67.23,70.38,59.18
"ML635J-21",76.85,74.63,0,0,0,73.24,74.32,76.41,63.92,70.97,66.87
