"","x"
"EN15_S_Wi2015",24502
"EN15_S_Wi2015_Taq",6404
"EN15_S_Wi2016",34051
"EN15_S_Wi2017",26137
"EN15_S_Wi2017RNA",32410
"EN15_S_Wi2018",24052
"EN15_S_Wi2018RNA",28950
"EN15_S_Wi2019A",51894
"EN15_S_Wi2019B",68647
"EN15_WBM_Su2017",17411
"EN15_WBM_Su2018",32167
"EN15_WPM_Au2017",29673
"EN15_WPM_Au2018",49165
"EN15_WPM_Sp2018",21277
"EN15_WPM_Su2017",26902
"EN15_WPM_Su2018",32338
"EN15_WPM_Wi2018",57165
"EN15_WPM_Wi2019",58486
"EN17_S_Su2017",23540
"EN17_S_Su2018",21606
"EN17_S_Wi2013",61192
"EN17_S_Wi2013RNA",29880
"EN17_S_Wi2015",15120
"EN17_S_Wi2016",55108
"EN17_S_Wi2017",15323
"EN17_S_Wi2017RNA",21652
"EN17_S_Wi2018",15319
"EN17_S_Wi2019",36167
"EN17_WBM_Su2017",26157
"EN17_WBM_Su2018",26024
"EN17_WPM_Au2017",28608
"EN17_WPM_Au2018",46483
"EN17_WPM_Sp2017",28716
"EN17_WPM_Sp2018",18513
"EN17_WPM_Su2017",32936
"EN17_WPM_Su2018",23068
"EN17_WPM_Wi2018",56593
"EN17_WPM_Wi2019",46451
"EN20_S_Su2017",22069
"EN20_S_Su2018",18219
"EN20_S_Wi2013",82444
"EN20_S_Wi2013RNA",25357
"EN20_S_Wi2015",24332
"EN20_S_Wi2016",60202
"EN20_S_Wi2016RNA",21823
"EN20_S_Wi2017",24178
"EN20_S_Wi2017RNA",30046
"EN20_S_Wi2018",34040
"EN20_S_Wi2018RNA",20933
"EN20_S_Wi2019",31599
"EN20_WBM_Su2017",55922
"EN20_WBM_Su2018",40863
"EN20_WPM_Au2017",47130
"EN20_WPM_Au2018",52621
"EN20_WPM_Sp2017",54510
"EN20_WPM_Sp2018",59107
"EN20_WPM_Su2017",35876
"EN20_WPM_Su2018",53897
"EN20_WPM_Wi2018",78024
"EN20_WPM_Wi2019",49596
"EN30_S_Su2017",27647
"EN30_S_Su2017RNA",12115
"EN30_S_Su2018",24168
"EN30_S_Wi2013",22273
"EN30_S_Wi2016",84822
"EN30_S_Wi2017",56297
"EN30_S_Wi2018",30188
"EN30_S_Wi2019",48794
"EN30_WBM_Su2017",37487
"EN30_WBM_Su2018",9118
"EN30_WPM_Au2017",29962
"EN30_WPM_Au2018",30852
"EN30_WPM_Sp2017",24204
"EN30_WPM_Sp2018",36212
"EN30_WPM_Su2017",26740
"EN30_WPM_Su2018",15405
"EN30_WPM_Wi2018",27969
"EN30_WPM_Wi2019",47507
"EN_Asua_S_Wi2019",52663
"EN_Asua_WBM_Wi2019",54480
"EN_Axpe_S_Wi2019",53367
"EN_Axpe_WBM_Wi2019",66580
"EN_LasArenas_S_Wi2019",37648
"EN_LasArenas_WBM_Wi2019",46061
"EN_Sestao_S_Wi2019",53533
"EN_Sestao_WBM_Wi2019",65121
"EO05_S_Wi2013",24312
"EO05_S_Wi2013RNA",22772
"EO05_S_Wi2015",15732
"EO05_S_Wi2016",49555
"EO05_S_Wi2017",28399
"EO05_S_Wi2017RNA",29975
"EO05_S_Wi2018",17474
"EO05_S_Wi2019",33440
"EO10_S_Wi2013",23108
"EO10_S_Wi2015",26264
"EO10_S_Wi2016",40502
"EO10_S_Wi2017A",22591
"EO10_S_Wi2017B",46070
"EO10_S_Wi2017RNA",40807
