"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Ophiodromus.flexuosus",-123,-31,16,1,36.87,0.01,8.96,-123,-118.5,-41,33.1,37.05,1,1,11.0584287626602,1
"Ophryotrocha.sp.",-62.5,21.5,10,1,22.99,0.01,7.82,-64,-62.5,23,73.5,77.3,1,0.99,7.90319786199282,1
"Paradoneis.armata",-137.5,-100.5,10,1,26.75,0.01,8.3,-149,-145,-100.5,171.050000000001,390.275,0.86,0.79,5.8011971928111,0
"Paragnathia.formica",460.5,460.5,9,2,44.28,0.01,8.96,211.45,223.2,436,463,533.5,1,0.95,8.30114082233107,2
"Pariambus.typicus",-137.5,21.5,4,1,8.84,0.05,3.35,-145.2,-126.85,-51.25,131.5,148.125,0.93,0.61,4.14562046273236,0
"Peringia.ulvae",-137.5,343.5,79,1,62.85,0.02,2.7,-28.275,36.4,296.75,346.25,351.05,0.77,0.99,3.39109397240928,0
"Phoronis.sp.",-118.5,-94,4,1,16.66,0.02,7.02,-137.5,-123,-105.5,137,144.1,0.86,0.69,7.82493650536758,0
"Phyllodoce.lineata",-77.5,21.5,8,1,15.43,0.01,4.38,-79.75,-65.35,28,80.75,85.3,0.99,0.93,6.27112964755367,0
"Phyllodoce.mucosa",-97,-35.5,4,1,7.98,0.04,2.11,-97,-97,-34,77,158.3,0.88,0.59,3.65905623640394,0
"Phyllodocidae",3.5,14.5,5,1,8.38,0.03,2.5,-100.5,-94.15,21,161.5,168.6,0.94,0.71,3.61825630517675,0
"Pilargis.verrucosa",3.5,21.5,4,1,12.12,0.01,5.67,-97.825,-62.5,3.5,36.55,40,0.95,0.85,7.1331169176967,0
"Podarkeopsis.capensis",-137.5,-77.5,5,1,21.07,0.01,9.54,-130.375,-118.95,-64,71.25,76.225,1,0.9,7.91231146968078,0
"Podarkeopsis.sp.",3.5,14.5,4,1,12.5,0.01,5.78,-100.675,-97,3.5,36.5,39.05,0.95,0.86,7.04796721118801,0
"Polycirrus.sp.",-64,-64,9,1,39.7,0.01,12.96,-123,-102.3,-62.5,15,35.025,1,0.98,12.2110669229109,1
"Polydora.ciliata",-12.5,14.5,6,1,18.75,0.01,8.96,-114.225,-97.75,-30.75,14.55,21.675,1,0.97,9.31475548283777,1
"Polydora.cornuta",-97,-62.5,21,1,43.06,0.01,7.56,-123,-112.2,-62.5,114.5,124,1,1,8.63662835294056,1
"Polydora.sp.",-118.5,-64,4,1,14.51,0.01,6.11,-137.5,-118.95,-64,140.5,145.05,0.85,0.73,6.53464752317195,0
"Prionospio.fallax",-123,21.5,13,1,30.18,0.01,7.91,-141.675,-118.95,-33.75,28.35,35.625,1,0.99,8.95928412137735,1
"Pseudopolydora.paucibranchiata",-100.5,43,27,1,45.58,0.01,7.27,-137.5,-112.2,-33.5,46,79.1249999999999,1,1,8.71842089297214,1
"Pygospio.elegans",144,135,10,2,13.61,0.02,2.91,53.925,64.8,140.5,160.55,238.725,0.97,0.85,3.62591897145417,0
"Ruditapes.decussatus",39,43,16,2,15.26,0.04,2.23,-123,0.950000000000004,49.5,342.55,398.724999999999,0.9,0.74,2.79115146785398,0
"Ruditapes.philippinarum",375.5,375.5,11,1,10.48,0.1,0.9,-137.5,-134.35,59,252.5,264.05,0.65,0.42,2.04858110938129,0
"Ruditapes.sp.",375.5,43,14,2,12.81,0.15,1.32,-118.5,-111.55,43,273.5,316.775,0.64,0.57,2.3334100446425,0
"Scolelepis.squamata",388.5,289,6,2,17.65,0.01,7.08,228.6425,235,298.5,383.5,388.5,0.99,0.97,8.02911463808044,2
"Scoloplos.typicus",-137.5,-137.5,4,1,16.31,0.08,2.84,-141.5,-137.5,68.5,342.3,389.725,0.51,0.58,3.81016386767143,0
"Scrobicularia.plana",289,289,65,1,59.07,0.01,6.39,117.95,136.8,269.25,309.05,319.15,1,1,5.90346934136354,1
"Solen.marginatus",-123,-94,4,1,33.33,0.01,15.16,-123,-118.5,-94,-45.9,-26.275,1,0.98,14.2984578971245,1
"Spio.decoratus",-137.5,31.5,6,1,8.73,0.04,2.29,-137.875,-126.85,21.5,389.15,396.5,0.81,0.68,3.8680147172126,0
"Spiochaetopterus.costarum",-137.5,35.5,9,1,20.68,0.01,6.11,-145.2,-141.85,29.75,52.3,144.325,0.99,0.97,6.81356317054215,1
"Sternaspis.scutata",31.5,71,5,1,10.42,0.01,4.48,-64.675,-61.6,39,80.55,84.65,1,0.84,5.1509886124631,0
"Streblospio.shrubsolii",299.5,273.5,78,1,70.46,0.01,4.31,199.6325,224.7,282,325,329.55,1,1,4.6668008905377,1
"Tapes.sp.",-107.5,-107.5,15,1,28.57,0.02,4.12,-130.2,-112.2,336,564.5,574,0.47,0.96,6.03882979629307,0
"Tellimya.ferruginosa",-137.5,31.5,4,1,11.76,0.01,5.8,-130.375,-112.65,31.5,40,43.3,0.99,0.73,6.14216725742722,0
"Tharyx.killariensis",71,71,5,1,8.31,0.01,2.71,0.875000000000009,14.95,71,164.45,175,0.96,0.7,3.13023271017104,0
"Theora.lubrica",-64,49,13,1,24.36,0.01,6.41,-100.5,-97.5,32.5,40.9000000000001,56.9999999999999,1,1,7.45212455435606,1
"Thyasira.flexuosa",31.5,31.5,7,1,20.59,0.01,7.37,24.825,25.45,36.5,46,52,1,0.99,7.47493769213749,1
"Tritia.neritea",-100.5,-100.5,4,1,8.7,0.2,1.68,-100.5,-100.5,-61.75,299.5,304.1,0.58,0.5,3.01680248214071,0
"Tritia.nitida",-123,-123,8,1,26.75,0.02,3.3,-137.5,-130,-93.75,405.3,436,0.77,0.79,4.55193092013715,0
"Tritia.pygmaea",-118.5,-107.5,13,1,47.73,0.01,8.6,-123,-123,-77.5,36.05,46,1,1,9.5403043280091,1
"Tritia.reticulata",-137.5,31.5,11,1,21.85,0.01,5.67,-145,-138.35,26.75,93.3500000000004,155.775,1,1,7.17320122692614,1
"Tubulanus.polymorphus",-118.5,-62.5,22,1,63.47,0.01,11.32,-118.5,-104.35,-64,-54.9,37.1249999999997,1,1,11.490397288091,1
"Upogebia.pusilla",131,131,4,1,6.45,0.12,1.87,62,65.9,131,140.8,145.05,0.93,0.38,2.22792367852477,0
