"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Pseudoalteromonadaceae",1.15415142595,1.9024582369,97,1,59.79,0.01,8.76,1.5165346497475,1.739711512785,1.9014337685,2.009326068125,2.18263517454,1,1,9.81067800417996,1
"Alteromonadaceae",1.8933774347,1.95942493725,137,1,67.69,0.01,9.91,1.883262365435,1.901951408085,2.158659843575,2.642005956275,2.82789484568,1,1,11.1336037186501,1
"Colwelliaceae",2.18884815715,2.17331005855,141,1,70.61,0.01,12.11,1.9747127655975,1.98723796392,2.18752549955,2.34586366324,2.49718039384,1,1,12.2499151879174,1
"Thiotrichaceae",0.844926965,2.93016649095,225,1,71,0.01,9.88,2.7270215642925,2.832155671355,2.924874414875,3.0657526558,3.0722783147375,1,1,10.8795815020559,1
"Piscirickettsiaceae",4.27265758775,4.22640186125,203,1,79.25,0.01,3.68,2.624105624985,2.81150205985,3.8674973957,4.219772989325,4.2266933995325,0.89,0.99,4.65644532161059,0
"Fangia - Caedibacter clade",0.844926965,3.3002226334,34,1,16.27,0.03,2.24,0.844926965,0.844926965,2.1913107668,3.26399200326,3.27676909211,0.88,0.83,3.88813620955955,0
"Xanthomonadales Incertae Sedis",0.844926965,2.17331005855,218,2,86.02,0.01,16.04,1.8215509193,1.86801138542,2.05195522605,2.19031258001,2.25154491903,1,1,17.0561629054168,2
"Xanthomonadaceae",0.8614257811,2.33715099985,213,2,75.33,0.01,11.4,1.91906938836,1.966743782845,2.1824795106,2.38489050082,2.4811874485225,1,1,12.4442102218453,2
"Woeseiaceae",4.27265758775,2.60197483845,225,1,83.46,0.01,20.17,2.4852358097,2.581794043495,2.9214288103,3.02878108711,3.046030165965,1,1,20.3462516817086,1
"Arenicellaceae",3.7691589386,2.98424172765,220,1,72.64,0.01,9.35,2.34374406537,2.44987129127,2.939256368,3.27124086972,3.6161234754375,1,1,10.933953020193,1
"Alcanivoracaceae",2.7005726274,2.71436857725,107,1,48.22,0.01,8.75,2.16795605497,2.19304061225,2.681315282075,2.914617311135,3.0100205950025,1,1,9.97186254619356,1
"Oceanospirillaceae",1.9024582369,2.33715099985,193,1,67.65,0.01,8.05,1.857647300375,1.89429945626,2.177564120175,2.506227496735,2.5674148788675,1,1,8.73347086849169,1
"SAR86 clade",0.89338494375,1.873012514,60,1,34.65,0.01,7.08,0.8646725707125,0.89338494375,1.66813313485,2.48693925368,2.6626914099375,1,1,8.37107761338183,1
"Hahellaceae",0.844926965,2.19569542695,51,1,24.35,0.01,5.74,1.18284333459,1.946918959085,2.18752549955,2.937195436215,3.3336220213125,0.98,0.95,4.98063972666218,1
"OM182 clade",2.6794146785,2.65473377165,189,1,92.36,0.01,18.01,2.363491899865,2.4435067172,2.642693289525,2.92165524249,2.9720639863175,1,1,18.3665492078044,1
"SS1-B-06-26",4.07784586555,3.6909910197,208,1,83.63,0.01,7.18,3.0204574824275,3.48065353008,3.69875895595,3.8532169806,3.86181579245,0.96,1,7.42457901672817,1
"CrystalBog021C3",1.3370648069,2.4040359,60,1,45.65,0.01,12.08,1.2168312238275,1.297239561275,2.1923119656,2.373895805405,2.41524451704,1,1,13.2347635358651,1
"MBAE14",1.70296391505,2.1982383837,137,1,79.94,0.01,12.52,1.789756213625,1.940474405315,2.3010458411,2.507852564725,2.568326046035,1,1,13.1128985877084,1
"Vibrionaceae",0.844926965,1.94481225385,106,1,48.67,0.01,6.89,1.8411032587,1.90886118747,2.19569542695,2.6794146785,2.7061988718275,1,0.99,7.66104893799634,1
"Chromatiaceae",1.0200885168,1.2341592411,103,2,44.16,0.02,3.35,1.210122041845,1.22299584552,1.3801266666,2.34668136083,2.83740248586,0.94,1,3.83563375630654,0
"Ectothiorhodospiraceae",0.844926965,2.4904359688,168,1,58.98,0.01,4.95,2.214689074945,2.4184090714,2.70742643695,3.8615167607,3.8736702924575,0.95,0.94,5.6284549363486,0
"Granulosicoccaceae",2.1831408394,2.05195522605,132,1,84.22,0.01,19.98,2.0751268155,2.17450045039,2.36809864635,2.505942198265,2.5409910687,1,1,19.9009238783693,1
"Aeromonadaceae",3.1702466659,3.1769737387,140,2,72.56,0.01,9.94,2.8229208208575,2.92441843432,3.0722683264,3.189205025245,3.2162381447575,1,1,9.86491968625004,2
"Legionellaceae",0.8614257811,2.3218788462,157,1,65.95,0.01,11.88,1.9967222322375,2.055115994595,2.2882680901,2.484426142465,2.5237189158625,1,1,12.1809644062241,1
"Coxiellaceae",4.4265367359,3.37373089425,202,1,65.45,0.01,5.75,1.67364191045,1.70222547122,2.67785193825,3.4499855724,3.50454013835,1,1,6.828748005098,1
"Halieaceae",4.27265758775,3.7691589386,225,1,79.97,0.01,10.26,1.4051037948975,3.012467350815,3.3758989802,3.8615167607,3.86779642745,0.94,1,10.7147630662151,0
"Cellvibrionaceae",3.8532169806,2.82794668775,214,1,78.38,0.01,12.88,2.496546328185,2.544729395395,2.74221277475,3.026034712825,3.0723331171375,1,1,13.3913800691952,1
"Porticoccaceae",1.2341592411,1.80058022495,184,2,71.37,0.01,9.19,1.4636963504025,1.53549366565,1.8974056016,2.136675238,2.1668933922775,1,1,9.1299411146595,2
"Spongiibacteraceae",4.4265367359,2.53577929815,202,1,64.14,0.01,10,2.3165873600525,2.343247633235,2.657239316075,3.87045152726,3.88400229927,1,1,9.24873241972314,1
"BD2-7",0.85529275935,2.5724004145,122,1,68.31,0.01,15.05,2.1706549672625,2.18086757136,2.473608345425,2.706045090005,2.72727702025,1,1,16.2834190567561,1
"Salinisphaeraceae",1.70296391505,1.94481225385,70,1,75.02,0.01,22.67,1.7930902576,1.921655405585,2.048443261,2.36732030938,2.45991947945,1,1,23.0853506779335,1
