"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Phyllodoce.lineata",2.53,2.53,8,1,11.26,0.08,2,2.32945,2.53,3.2635,3.67035,3.919125,0.8,0.5,2.26031980149522,0
"Phyllodoce.mucosa",3.1265,4.8205,4,1,4.04,0.49,0.42,1.7098,3.127,3.378,4.2819,4.3755,0.55,0.22,1.3379428824795,0
"Phyllodocidae",4.3305,4.2765,5,2,6.69,0.09,1.71,3.028975,3.0305,4.176,4.384,5.314625,0.57,0.69,3.88493210873587,0
"Pilargis.verrucosa",4.3305,4.2765,4,2,7.46,0.03,2.39,3.0305,3.039,4.218,5.31185,5.4645,0.76,0.64,3.65378147715374,0
"Podarkeopsis.capensis",3.6045,3.6045,5,1,7.69,0.06,1.99,2.49175,3.05765,3.46425,3.6335,3.6355,0.87,0.59,2.60682361119128,0
"Podarkeopsis.sp.",4.3305,4.2765,4,2,7.49,0.03,2.47,3.0305,3.03815,4.212,4.3755,5.19675,0.77,0.62,3.50908121644146,0
"Polycirrus.sp.",3.621,3.621,9,1,10.59,0.07,1.68,2.943825,3.0305,3.559,3.63355,3.6499,0.62,0.6,2.3490982953287,0
"Polydora.ciliata",3.503,3.411,6,2,9.52,0.02,2.42,3.401125,3.42,3.503,3.786,3.790025,0.98,0.75,2.89137961318457,0
"Polydora.cornuta",3.411,4.194,21,2,23.4,0.05,2.37,3.1193,3.1265,3.411,4.22925,4.8457,1,0.92,3.58664084380276,0
"Polydora.sp.",3.1925,3.171,4,2,4.6,0.39,0.86,3.17955,3.194,3.53275,4.33705,4.429575,0.52,0.2,-1.09769884213822,0
"Prionospio.fallax",4.427,4.427,13,1,12.12,0.21,0.83,3.129925,3.18855,3.95,4.409,4.478575,0.53,0.27,1.29863946091622,0
"Pseudopolydora.paucibranchiata",3.559,3.559,27,2,26.07,0.05,1.7,3.142975,3.2281,3.502,4.1715,4.3755,0.89,0.71,2.30485450894745,0
"Pygospio.elegans",4.1445,4.155,10,1,12.05,0.02,2.52,3.2134,3.27385,4.1445,4.1865,4.2014,0.9,0.55,2.17613856611099,0
"Ruditapes.decussatus",3.067,3.3195,16,1,17.51,0.01,2.97,2.946175,3.0095,3.3195,4.33605,4.3761,0.97,0.94,3.97281591187995,0
"Ruditapes.philippinarum",4.2765,4.3305,11,1,12.22,0.08,1.9,3.19575,3.3148,4.116,4.3448,4.4279,0.89,0.54,2.34928637677517,0
"Ruditapes.sp.",4.5135,4.7415,14,1,14.29,0.08,1.62,3.125825,3.1883,3.90675,4.599,4.68695,0.81,0.51,2.12148738231849,0
"Scolelepis.squamata",2.723,2.53,6,1,34.59,0.01,14.36,1.722,2.25935,2.723,3.004,3.011975,1,0.99,12.9663226379161,1
"Scoloplos.typicus",1.4475,2.855,4,1,15.26,0.01,6.89,1.396,1.67055,2.93025,3.1355,3.147175,0.98,0.89,7.79764929948368,0
"Scrobicularia.plana",3.067,3.1265,65,2,60.43,0.01,6,3.004,3.0557,3.126,5.0597,5.2543,0.81,1,5.80562530829405,0
"Solen.marginatus",3.5925,3.4555,4,2,4.28,0.33,0.76,3.1285,3.16745,3.58875,4.1922,4.218,0.59,0.29,1.62832684238015,0
"Spio.decoratus",1.4475,3.6045,6,1,9.23,0.03,3.36,1.4065,1.44445,3.1265,3.6335,3.638,0.97,0.77,4.10166062848299,0
"Spiochaetopterus.costarum",3.5925,3.6045,9,1,12.06,0.02,2.7,3.0305,3.1279,3.275,3.621,3.6336,0.95,0.78,3.58756999676521,0
"Sternaspis.scutata",3.0305,3.1205,5,1,10.38,0.01,4.09,2.7855,2.8105,3.05425,3.621,3.635,0.94,0.78,4.52410294651009,0
"Streblospio.shrubsolii",3.0585,3.091,78,2,75.88,0.01,4.3,3.010925,3.039,3.131,3.23485,3.2635,0.99,1,5.61323683676706,2
"Tapes.sp.",4.7415,4.8205,15,1,15.15,0.09,1.66,2.425575,2.5085,3.4155,4.74735,4.9351,0.77,0.66,2.55476332338908,0
"Tellimya.ferruginosa",3.5925,3.5925,4,1,6.25,0.07,2.48,2.884925,3.0305,3.473,3.621,3.63305,0.91,0.45,2.59105417260303,0
"Tharyx.killariensis",3.0305,3.1205,5,1,10.65,0.01,4.54,2.783275,2.82805,3.05425,3.48725,3.592875,0.97,0.76,4.19275312760389,0
"Theora.lubrica",4.3305,4.2765,13,2,14.4,0.07,1.77,3.308825,3.4272,4.33,5.43475,5.4645,0.86,0.65,2.844721740798,0
"Thyasira.flexuosa",4.427,4.427,7,1,7.53,0.2,0.84,2.892675,2.9996,3.313,4.33005,4.427,0.82,0.38,1.72482243316459,0
"Tritia.neritea",1.6775,2.151,4,1,15.77,0.01,5.63,1.396,1.478,2.2795,5.7175,5.75905,0.65,0.8,6.53903626585546,0
"Tritia.nitida",1.6205,3.621,8,1,9.58,0.01,3,1.619875,1.6205,3.0305,3.64005,3.6772,0.94,0.8,4.47415346420822,0
"Tritia.pygmaea",3.621,3.6335,13,1,13.56,0.03,2.39,2.94605,3.0489,3.60675,3.6503,3.7378,0.84,0.69,2.99051316723696,0
"Tritia.reticulata",3.1265,3.6045,11,1,12.89,0.02,2.89,3.0305,3.067,3.46425,3.6372,4.2242,0.95,0.81,3.69022748271183,0
"Tubulanus.polymorphus",5.619,3.621,22,1,15.63,0.14,1.2,2.7401,3.00895,3.61875,4.5135,4.907975,0.59,0.52,2.21158184343363,0
"Upogebia.pusilla",3.354,4.211,4,1,4.6,0.13,1.01,3.183825,3.1954,3.354,4.155,4.193625,0.78,0.14,1.42224327371158,0
