"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Xanthomonadaceae",1.4065,1.4905,169,2,86.83,0.01,5.93,1.436,1.503,1.6775,3.00035,3.040725,1,1,7.53287698632491,2
"Woeseiaceae",4.536,4.0875,172,1,72.74,0.01,11.08,3.023425,3.1285,3.429,4.4288,4.534575,1,1,10.7715221816197,1
"Arenicellaceae",2.927,3.0095,167,1,62.46,0.01,4.52,2.927,2.96085,3.0655,3.56035000000001,5.7903,0.91,1,5.4766877074629,0
"Alcanivoracaceae",1.4065,2.994,69,1,43.02,0.01,6.42,1.4065,1.4065,2.88325,3.011,3.21815,1,0.99,6.73082865830744,1
"Oceanospirillaceae",5.85,2.994,146,1,72.61,0.01,7.34,2.975325,2.9985,3.0535,5.0615,5.18565,1,1,7.869102869242,1
"SAR86 clade",1.8505,3.179,43,1,24.53,0.01,3.53,1.8505,2.0252,3.18225,4.6814,5.96445,0.89,0.92,5.28195113328961,0
"Hahellaceae",1.2625,3.1665,36,1,19.21,0.01,2.89,0.852175,1.2625,2.955,5.69015,5.973,0.84,0.94,5.03920437599277,0
"OM182 clade",1.0705,3.2465,143,1,76.45,0.01,10.01,2.99385,2.999,3.224,3.43075,4.164375,1,1,10.7439726578538,1
"SS1-B-06-26",5.543,5.543,155,1,63.3,0.03,2.39,2.61935,2.7392,4.97975,5.5458,5.5948,0.59,0.93,3.69506036881905,0
"CrystalBog021C3",1.3855,1.3855,45,1,79.62,0.01,7.6,0.8995,0.8995,1.4475,3.043,3.051725,1,1,8.99019669299805,1
"MBAE14",1.0705,3.0955,110,1,71.85,0.01,8.27,2.94125,2.9725,3.053,3.1947,3.26215,1,1,8.35070397685039,1
"Vibrionaceae",2.693,2.927,70,1,46.54,0.01,6.06,2.5499,2.693,2.959,3.18165,3.207,0.99,1,6.84443392629205,1
"Chromatiaceae",5.95,5.7175,77,2,81.15,0.01,9.73,3.585,3.6318,4.77,5.75495,5.796275,1,1,9.6103211220703,2
"Ectothiorhodospiraceae",5.8615,4.1695,126,1,64.87,0.01,5.64,3.29995,3.7204,4.18375,4.65455,4.883475,1,1,6.38372694692614,1
"Granulosicoccaceae",1.2625,2.9615,103,1,71.56,0.01,9.52,2.893,2.9432,2.99975,3.12605,3.137425,1,1,10.0802743798875,1
"Aeromonadaceae",4.9,3.286,108,2,49.59,0.02,3.61,2.894275,3.0095,3.638,5.0292,5.0596,0.97,1,5.20579468455842,2
"Legionellaceae",1.0705,3.004,115,1,60.25,0.01,7.4,2.704525,2.99295,3.0095,4.59385,4.6604,1,1,7.84485718049826,1
"Coxiellaceae",5.92,5.8115,156,1,63.7,0.03,2.55,2.49775,2.9335,4.2025,5.86205,5.899075,0.88,0.88,3.23449001423423,0
"Halieaceae",2.545,2.53,172,2,67.36,0.01,6.03,2.508075,2.5419,2.7765,3.0725,3.120625,0.99,1,6.75138875221599,2
"Cellvibrionaceae",5.7745,4.249,161,1,74.88,0.01,7.18,3.370925,3.69765,4.218,4.8299,4.997425,1,1,7.7531763448493,1
