"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Pseudomystides.limbata",3.0625,3.025,4,2,5.19,0.06,2.3,2.875,2.95,3.0625,3.60875,3.775,0.944,0.562,2.86813915670461,0
"Pseudopolydora.paucibranchiata",4.365625,4.365625,29,2,44.65,0.008,5.69,1.873,3.0925,4.3040625,4.3668125,4.4,0.984,0.944,5.14658266173134,0
"Pygospio.elegans",1.165,1.5,12,1,10.11,0.116,1.24,0.99975,1.1,1.85,3.310375,3.47625,0.842,0.712,2.68969940209556,0
"Ruditapes.decussatus",0.485,0.8,18,1,42.08,0.004,9.38,0.49925,0.6,0.84,1.0905,1.103,0.994,0.99,9.15967678241622,1
"Ruditapes.philippinarum",0.71,3.20875,13,1,10.12,0.052,1.97,0.4195,0.565,1.85,4.36625,4.4175,0.842,0.874,4.20487753670042,0
"Ruditapes.sp.",3.84625,1.525,14,1,9.91,0.16,1.02,1.16175,1.24,1.99625,3.45,3.6375,0.664,0.54,2.06627127696963,0
"Scolelepis.squamata",0.485,1.235,7,1,17.46,0.004,8.08,0.485,0.53,1.095,2.0425,2.07625,1,0.988,8.96191774744314,1
"Scoloplos.typicus",0.84,0.87,5,1,18.52,0.004,7.7,0.8,0.8,0.89,1.05,1.31149999999999,0.992,0.914,7.87555741437252,0
"Scrobicularia.plana",4.308125,2.05,81,2,49.38,0.004,4.86,2.0425,2.075,2.225,3.155,3.188125,0.97,0.996,5.21486565384844,2
"Solen.marginatus",3.0925,3.025,4,2,5.19,0.044,2.41,2.9,2.99175,3.085,3.225,3.5,0.936,0.536,2.57775999930354,0
"Spio.decoratus",3.145,3.145,7,1,5.89,0.088,1.45,1.29875,1.5,3.13,3.196625,3.5685,0.696,0.39,1.89778375697267,0
"Spiochaetopterus.costarum",1.165,3.145,11,1,8.53,0.12,1.32,1.165,1.5095,2.925,3.175,3.40125,0.508,0.53,2.01425613014197,0
"Sternaspis.scutata",3.60875,3.60875,6,2,8.98,0.016,3.01,2.925,2.985,3.225,3.7525,3.76375,0.992,0.868,4.03882310698586,0
"Streblospio.shrubsolii",4.365625,2.45,99,2,58.61,0.008,2.97,1.4775,2.07425,2.425,3.2425,4.16290625,0.91,0.99,3.58176515243263,0
"Tapes.sp.",0.71,1.275,23,1,30.85,0.004,7.83,0.6,0.7,1.015,1.165,1.27,0.996,0.994,8.60015811451963,1
"Tellimya.ferruginosa",3.76375,3.76375,6,2,5.6,0.136,0.69,1.5,1.565,3.175,3.76375,3.775,0.634,0.42,1.97956734307933,0
"Tharyx.killariensis",3.60875,3.60875,7,2,11.48,0.02,3.52,2.9675,3,3.6,4.3008125,4.41625,0.994,0.938,4.69943962088932,0
"Theora.lubrica",4.33,4.111875,14,2,47.21,0.004,9.63,3.125,3.35,4.111875,4.351875,4.365625,1,0.998,10.3667016036902,2
"Thyasira.flexuosa",2.75,2.7,7,2,6.84,0.12,1.42,2.45,2.6225,3.281875,3.78,4.34375,0.816,0.624,2.59607014860112,0
"Tritia.neritea",4.365625,4.308125,4,2,24.55,0.004,7.34,0.42,0.4795,4.15875,4.365625,4.3659375,0.62,0.942,7.60393149779844,0
"Tritia.nitida",4.39375,4.39375,11,2,19.59,0.072,1.71,1.64,2.075,3.40125,4.4089375,4.425625,0.852,0.712,2.899121269716,0
"Tritia.pygmaea",2.75,2.75,16,2,13.88,0.004,3.21,1.52475,2.0425,2.75,3.113125,3.3108125,0.96,0.928,3.5814049918095,0
"Tritia.reticulata",1.165,1.1,15,2,12.1,0.04,1.72,1.1,1.1,2.05,3.60025,3.775,0.834,0.642,2.36271038922187,0
"Tubulanus.polymorphus",4.365625,2.75,25,2,24.86,0.004,6.06,2.45,2.5225,2.795,4.365625,4.41625,1,1,6.28632364870652,2
"Upogebia.pusilla",3.40125,3.40125,4,2,8.33,0.008,4.62,3.270625,3.35,3.40125,3.6175,3.6375,0.97,0.824,4.70270510086169,0
"Xenostrobus.securis",4.365625,4.365625,5,2,14.01,0.06,2.43,1.75425,1.815,3.8775,4.351875,4.365625,0.748,0.724,3.64150908709671,0
