	otu_preds	taxa_preds
EU08_S_Wi2019	4.683	5.487
EU10_S_Wi2013	4.275	3.108
EU10_S_Wi2015	5.667	3.139
EU10_S_Wi2016	4.33	3.189
EU10_S_Wi2017	4.515	3.678
EU10_S_Wi2018	4.409	3.196
EUR05_S_Wi2013	2.543	5.571
EUR05_S_Wi2015	5.571	3.131
EUR05_S_Wi2016	3.078	3.178
EUR05_S_Wi2017	3.011	4.209
EUR05_S_Wi2018	5.867	4.841
EUR10_S_Wi2013	2.224	4.143
EUR10_S_Wi2015	2.7	2.955
EUR10_S_Wi2016	2.7	0.808
EUR10_S_Wi2017	2.7	2.955
EUR10_S_Wi2018	3.343	0.718
