	otu_preds	taxa_preds
EOI15_S_Wi2017	1.262	3.155
EOI15_S_Wi2018	1.262	2.182
EOI15_S_Wi2019	1.262	2.182
EOI20_S_Su2017	2.832	1.465
EOI20_S_Su2018	2.832	2.832
EOI20_S_Wi2013	2.261	2.832
EOI20_S_Wi2015	2.832	1.465
EOI20_S_Wi2016	2.832	2.832
EOI20_S_Wi2017A	2.261	1.465
EOI20_S_Wi2018	2.832	2.832
EOI20_S_Wi2019	2.832	0.837
EOK05_S_Su2017	2.446	2.182
EOK05_S_Su2018	2.446	2.182
EOK05_S_Wi2013	1.306	2.182
EOK05_S_Wi2015	2.446	2.182
EOK05_S_Wi2016	2.046	2.046
EOK05_S_Wi2017	1.687	1.445
EOK05_S_Wi2018	1.2124781871	1.687
EOK05_S_Wi2019	1.348	2.182
EOK10_S_Su2017	1.375	1.246
EOK10_S_Su2018	1.687	2.367
EOK10_S_Wi2013	3.151	1.4954966965
EOK10_S_Wi2015	1.74	1.273
EOK10_S_Wi2016	1.246	0.913
EOK10_S_Wi2017	1.4954966965	2.182
EOK10_S_Wi2018	3.151	1.939
EOK10_S_Wi2019	1.883	0.8051315654
EOK20_S_Su2017	0.528214379	1.246
EOK20_S_Su2018	0.548	0.548
EOK20_S_Wi2015	1.116	1.79
EOK20_S_Wi2016	1.515	1.246
EOK20_S_Wi2017	0.548	0.304
EOK20_S_Wi2018	0.528214379	1.481
EOK20_S_Wi2019	1.0486539228	0.548
ESVB1_S_Su2018	1.687	2.981
ESVB2_S_Su2018	0.386946728	1.239
ESVB3_S_Su2018	2.064	1.239
ESVB4_S_Su2018	2.064	2.064
ESVB5_S_Su2018	2.367	1.941
EU05_S_Wi2013	1.223	2.037
EU05_S_Wi2016	1.2832685192	3.155
EU05_S_Wi2017	1.74	2.182
EU05_S_Wi2018	2.156	2.156
EU05_S_Wi2019	1.26	1.7162495811
EU08_S_Su2017	1.238	3.15
EU08_S_Su2018	1.454	1.238
EU08_S_Wi2013	3.035	0.999
EU08_S_Wi2015	3.756	1.263
EU08_S_Wi2016	1.454	1.454
EU08_S_Wi2017	1.687	0.999
EU08_S_Wi2018	2.418	2.182
EU08_S_Wi2019	1.454	3.283
EU10_S_Su2017	1.238	2.972
