	otu_preds	taxa_preds
EOI20_S_Wi2017A	1.304	1.844
EOI20_S_Wi2018	2.512	0.403
EOI20_S_Wi2019	1.797	1.844
EOK05_S_Su2017	2.548	2.097
EOK05_S_Su2018	1.932	1.615
EOK05_S_Wi2013	2.475	1.932
EOK05_S_Wi2015	2.475	2.475
EOK05_S_Wi2016	1.932	1.932
EOK05_S_Wi2017	1.932	1.932
EOK05_S_Wi2018	1.932	1.932
EOK05_S_Wi2019	1.932	2.068
EOK10_S_Su2017	1.238	1.238
EOK10_S_Su2018	1.238	2.064
EOK10_S_Wi2013	1.625	1.351
EOK10_S_Wi2015	1.328	2.092
EOK10_S_Wi2016	1.797	1.328
EOK10_S_Wi2017	1.625	0.938
EOK10_S_Wi2018	1.625	2.316
EOK10_S_Wi2019	1.717	2.134
EOK20_S_Su2017	0.954	1.286
EOK20_S_Su2018	0.954	1.286
EOK20_S_Wi2015	0.954	0.954
EOK20_S_Wi2016	0.954	0.954
EOK20_S_Wi2017	0.954	0.548
EOK20_S_Wi2018	0.954	2.013
EOK20_S_Wi2019	0.954	0.954
ESVB1_S_Su2018	2.037	0.954
ESVB2_S_Su2018	1.435	0.454
ESVB3_S_Su2018	1.435	0.454
ESVB4_S_Su2018	1.435	1.427
ESVB5_S_Su2018	0.454	1.798
EU05_S_Wi2013	2.162	2.162
EU05_S_Wi2016	2.013	1.39
EU05_S_Wi2017	2.169	1.937
EU05_S_Wi2018	2.037	0.797
EU05_S_Wi2019	2.037	1.869
EU08_S_Su2017	1.435	1.435
EU08_S_Su2018	1.435	1.238
EU08_S_Wi2013	2.169	3.009
EU08_S_Wi2015	1.435	1.923
EU08_S_Wi2016	1.435	1.89
EU08_S_Wi2017	1.932	1.932
EU08_S_Wi2018	1.066	0.938
EU08_S_Wi2019	2.588	2.944
EU10_S_Su2017	2.169	2.361
EU10_S_Su2018A	1.435	1.558
EU10_S_Wi2013	1.065	3.392
EU10_S_Wi2015	0.938	0.938
EU10_S_Wi2016	2.718	2.22
EU10_S_Wi2017	1.89	1.435
EU10_S_Wi2018	2.548	1.465
EU10_S_Wi2019	3.392	3.495
EUR05_S_Wi2013	1.351	3.009
EUR05_S_Wi2015	3.291	3.009
EUR05_S_Wi2016	3.291	3.291
EUR05_S_Wi2017	3.009	1.656
EUR05_S_Wi2018	1.869	1.39
EUR05_S_Wi2019	3.291	2.037
EUR10_S_Wi2013	0.86	1.357
EUR10_S_Wi2015	0.372	1.798
EUR10_S_Wi2016	0.954	1.798
EUR10_S_Wi2017	0.454	1.798
EUR10_S_Wi2018	0.454	1.798
EUR10_S_Wi2019	0.454	0.927
